paper_id,title,file_path,doi,dt_source_uuid,reason,has_doi,created_at
33,Artificial intelligence in medical education,devonthink_import/378C6C3E-4ADD-4368-85AF-7031BD8CD1B6,,378C6C3E-4ADD-4368-85AF-7031BD8CD1B6,file_not_found,no,2025-12-21T01:59:37.844490+00:00
47,Beyond Misinformation: Understanding and coping with the post-truth era,devonthink_import/FA4EA495-B15C-4F5C-91CC-5D858274D4FB,,FA4EA495-B15C-4F5C-91CC-5D858274D4FB,file_not_found,no,2025-12-21T01:59:37.893840+00:00
60,ChatGPT in medical school: how successful is AI in progress testing?,devonthink_import/940602BE-C591-40CE-B7A1-EF9F349F5239,,940602BE-C591-40CE-B7A1-EF9F349F5239,file_not_found,no,2025-12-21T01:59:37.944551+00:00
79,Curriculum development: a how to primer,devonthink_import/5AF1CFA2-A063-4B68-8A40-E75C5757EB51,,5AF1CFA2-A063-4B68-8A40-E75C5757EB51,file_not_found,no,2025-12-21T01:59:38.017882+00:00
3,"A Literature Review on Detecting, Verifying, and Mitigating Online Misinformation",devonthink_import/CEA9BAAF-89BE-4811-983C-B07EF6BCADC4,,CEA9BAAF-89BE-4811-983C-B07EF6BCADC4,file_not_found,no,2025-12-21T01:58:46.336965+00:00
22,Algorithmic Empire and the New Digital Colonialism: The Legal Struggle for Technological Self-Determination in the Age of AI,devonthink_import/2D239779-6D70-40C0-BDCE-15D3853F0419,,2D239779-6D70-40C0-BDCE-15D3853F0419,file_not_found,no,2025-12-21T01:59:37.801720+00:00
127,Health Professional Training and Capacity Strengthening Through International Academic Partnerships: The First Five Years of the Human Resources for Health Program in Rwanda,devonthink_import/6156832E-0630-4BC2-BEA2-49E3B077203A,,6156832E-0630-4BC2-BEA2-49E3B077203A,file_not_found,no,2025-12-21T01:59:38.202234+00:00
200,Responsabilidad Corporativa en la Lucha contra la Desinformacin en Lnea,devonthink_import/6221A61B-0755-494F-9E3E-27BBD088E712,,6221A61B-0755-494F-9E3E-27BBD088E712,file_not_found,no,2025-12-21T01:59:38.484526+00:00
145,Investigating StudentsÕ Perceptions towards Artificial Intelligence in Medical Education,devonthink_import/9172D92C-EB2E-4F34-A764-C7D93A99DA36,,9172D92C-EB2E-4F34-A764-C7D93A99DA36,file_not_found,no,2025-12-21T01:59:38.271005+00:00
153,Managing the COVID-19 infodemic: Promoting healthy behaviours and mitigating the harm from misinformation and disinformation,devonthink_import/7585131C-7968-4C37-A0DC-19237C5330AA,,7585131C-7968-4C37-A0DC-19237C5330AA,file_not_found,no,2025-12-21T01:59:38.301198+00:00
154,Measuring Capacity Building,devonthink_import/4F9452A0-2051-42AE-84C4-9E581294F7F0,,4F9452A0-2051-42AE-84C4-9E581294F7F0,file_not_found,no,2025-12-21T01:59:38.304246+00:00
160,Medical DoctorsÕ Perceptions of Artificial Intelligence (AI) in Healthcare,devonthink_import/7883D6E9-4B8C-4269-8AEA-07A8E01203BB,,7883D6E9-4B8C-4269-8AEA-07A8E01203BB,file_not_found,no,2025-12-21T01:59:38.323057+00:00
161,Medical studentsÕ AI literacy and attitudes towards AI: a cross-sectional two-center study using pre-validated assessment instruments,devonthink_import/F04E1F40-0C96-4185-9425-D7F80F039C8A,,F04E1F40-0C96-4185-9425-D7F80F039C8A,file_not_found,no,2025-12-21T01:59:38.326089+00:00
175,"Needs, Challenges, and Applications of Artificial Intelligence in Medical Education Curriculum",devonthink_import/F4991650-A4BA-4EC0-A9E2-7767915190B0,,F4991650-A4BA-4EC0-A9E2-7767915190B0,file_not_found,no,2025-12-21T01:59:38.379080+00:00
172,Multimodal AI & LLMs for Peacekeeping and Emergency Response,devonthink_import/25389DFC-F346-4F9B-86FA-CE5CA51AACB4,,25389DFC-F346-4F9B-86FA-CE5CA51AACB4,file_not_found,no,2025-12-21T01:59:38.367115+00:00
49,"Book Review: mHealth: New Horizons for Health through Mobile Technologies: Based on the Findings of the Second Global Survey on eHealth (Global Observatory for eHealth Series, Volume 3)",devonthink_import/09EDC80C-620D-41DF-B5EB-CAF4D42B554C,,09EDC80C-620D-41DF-B5EB-CAF4D42B554C,file_not_found,no,2025-12-21T01:59:37.902202+00:00
198,PUBLIC HEALTH RESPONSES TO WILDFIRE SMOKE EVENTS,devonthink_import/AA4B02AA-F38B-4558-A62E-B739BCB14437,,AA4B02AA-F38B-4558-A62E-B739BCB14437,file_not_found,no,2025-12-21T01:59:38.475450+00:00
162,Medicine and the media: Medical expertsÕ problems and solutions while working with journalists,devonthink_import/89E36240-3EEE-41C6-A80C-F75C885C6331,,89E36240-3EEE-41C6-A80C-F75C885C6331,file_not_found,no,2025-12-21T01:59:38.329862+00:00
229,The Online Disinformation Opera,devonthink_import/1048CF3B-A439-4B43-A16B-5DF9E327B49D,,1048CF3B-A439-4B43-A16B-5DF9E327B49D,file_not_found,no,2025-12-21T01:59:38.599187+00:00
38,Artificial intelligence in medical education - perception among medical students,devonthink_import/55800A7C-FF04-46F1-BF5E-BBDBC50A6359,,55800A7C-FF04-46F1-BF5E-BBDBC50A6359,file_not_found,no,2025-12-21T01:59:37.860969+00:00
83,Decoding medical educatorsÕ perceptions on generative artificial intelligence in medical education,devonthink_import/4147C94A-6299-4E6B-9413-66125A2D2009,,4147C94A-6299-4E6B-9413-66125A2D2009,file_not_found,no,2025-12-21T01:59:38.034082+00:00
149,Linked Credibility Reviews til Forklarbar Misinformation Detektion,devonthink_import/D575CDEF-E853-4102-8F57-11BCA7BB03E7,,D575CDEF-E853-4102-8F57-11BCA7BB03E7,file_not_found,no,2025-12-21T01:59:38.286174+00:00
139,Infodemics and health misinformation: a systematic review of reviews,devonthink_import/5ED54F68-72E3-470C-8CA8-23CCA50A9D1B,,5ED54F68-72E3-470C-8CA8-23CCA50A9D1B,file_not_found,no,2025-12-21T01:59:38.248814+00:00
